Date,Open,High,Low,Close,Volume,Adj Close
2011-10-31,2705.89,2716.70,2597.16,2606.96,2033390000,2606.96
2011-10-24,2644.83,2753.37,2598.74,2737.15,2086016000,2737.15
2011-10-17,2653.32,2667.57,2557.17,2637.46,1929442000,2637.46
2011-10-10,2522.72,2667.85,2519.78,2667.85,1708582000,2667.85
2011-10-03,2401.19,2512.14,2298.89,2479.35,2479014000,2479.35
2011-09-26,2496.98,2590.94,2415.07,2415.40,2067876000,2415.40
2011-09-19,2584.35,2643.37,2420.23,2483.23,2174664000,2483.23
2011-09-12,2442.86,2627.28,2438.40,2622.31,2181394000,2622.31
2011-09-06,2417.61,2568.45,2414.31,2467.99,1890707500,2467.99
2011-08-29,2510.99,2611.58,2469.35,2480.33,1759354000,2480.33
2011-08-22,2396.88,2486.04,2337.28,2479.85,1926900000,2479.85
2011-08-15,2522.04,2555.20,2338.66,2341.84,2218884000,2341.84
2011-08-08,2447.30,2524.09,2331.65,2507.98,3310932000,2507.98
2011-08-01,2791.45,2796.24,2464.87,2532.41,2842298000,2532.41
2011-07-25,2832.11,2859.40,2724.99,2756.38,2017784000,2756.38
2011-07-18,2777.61,2862.72,2743.79,2858.83,1889604000,2858.83
2011-07-11,2828.10,2841.12,2755.90,2789.80,1883544000,2789.80
2011-07-05,2817.87,2878.94,2810.00,2859.81,1670485000,2859.81
2011-06-27,2653.07,2818.19,2647.55,2816.03,1740666000,2816.03
2011-06-20,2608.05,2693.23,2607.74,2652.89,2005806000,2652.89
2011-06-13,2649.30,2685.65,2599.86,2616.48,1976544000,2616.48
2011-06-06,2728.31,2736.66,2641.64,2643.73,1898346000,2643.73
2011-05-31,2824.25,2835.34,2730.63,2732.78,2140092500,2732.78
2011-05-23,2761.96,2801.15,2739.85,2796.86,1822256000,2796.86
2011-05-16,2815.90,2828.41,2759.29,2803.32,1939028000,2803.32
2011-05-09,2828.24,2874.61,2819.37,2828.47,2010516000,2828.47
2011-05-02,2881.28,2887.75,2804.82,2827.56,2151604000,2827.56
2011-04-25,2820.28,2876.83,2813.20,2873.54,20478794100,2873.54
2011-04-18,2731.22,2820.77,2706.50,2820.16,1912785000,2820.16
